Name_Num,AFFGEOID,GEOID,NAME,Municipality,Pittsburgh Neighborhood,Total Pop 2014-2018,White Pop Rate 2014-2018,Black Pop Rate 2014-2018,Asian Pop Rate 2014-2018,His or Lat Pop Rate 2014-2018,Family Poverty Rate 2014-2018,Rate of Single Mothers 2014-2018,Rate of those 25 and up without at least Bachelor's 2014-2018,Male unemployment/unattachment rate,Average 911 Dispatches for Shots Fired per 500,Median Home Value 2014-2018,Median Gross Rent 2014-2018,CNI Z-Score,Level of Need
409,1400000US42003040900,42003040900,409,City of Pittsburgh,South Oakland ,3406,70.40516735,15.61949501,4.169113329,3.141514974,31.6,29.6875,61.8,36.39291465,1.350557839,114800,1083,0.74208683,High Need
4090,1400000US42003409000,42003409000,4090,Pine Township,N/A,12881,92.77230029,1.273193075,4.168930984,1.110162254,1.9,2.102676133,22.6,10.83925283,0.496855834,389400,1445,-0.969860842,Very low Need
4100,1400000US42003410000,42003410000,4100,Bradford Woods ,N/A,1201,94.00499584,0.333055787,3.413821815,1.831806828,0,5.337078652,33.9,19.94219653,0.333055787,334700,289,-0.703193909,Very low Need
4110,1400000US42003411000,42003411000,4110,Marshall,N/A,8634,83.00903405,2.154273801,12.28862636,1.20454019,1.5,1.482422702,28.2,13.45900921,0.347463516,339600,1594,-0.893989083,Very low Need
4120.01,1400000US42003412001,42003412001,4120.01,Franklin Park,N/A,9210,76.43865364,1.834961998,14.35396308,3.2247557,1.6,3.792714983,31.2,14.22035837,0.325732899,310100,1694,-0.818395822,Very low Need
4120.02,1400000US42003412002,42003412002,4120.02,Franklin Park,N/A,5238,90.54982818,0.15273005,8.075601375,0.477281405,1,2.043506922,29.6,11.8466899,0.286368843,354700,1188,-0.9088119,Very low Need
4131,1400000US42003413100,42003413100,4131,McCandless Twp,N/A,6695,79.04406273,1.179985063,12.23300971,3.375653473,5.6,4.715447154,33.6,8.302679979,0.328603435,316000,1041,-0.81160773,Very low Need
4132.01,1400000US42003413201,42003413201,4132.01,McCandless Twp,N/A,3631,91.29716332,1.266868631,3.607821537,2.148168549,1.5,7.344632768,43.7,14.52991453,0.440649959,201100,1211,-0.635144665,Very low Need
4132.02,1400000US42003413202,42003413202,4132.02,McCandless Twp,N/A,2742,93.47191831,0,3.318745441,2.151714077,1.2,10.33112583,49.4,9.078771696,0.474106492,238600,919,-0.626997194,Very low Need
4133,1400000US42003413300,42003413300,4133,McCandless Twp,N/A,4358,90.11014227,3.097751262,3.74024782,1.973382285,0.4,3.939647946,49,13.22580645,0.413033502,200100,747,-0.670906333,Very low Need
4134,1400000US42003413400,42003413400,4134,McCandless Twp,N/A,4528,89.37720848,0.50795053,6.868374558,3.246466431,2,7.061503417,44.1,15.43859649,0.309187279,260400,1547,-0.618306468,Very low Need
4135,1400000US42003413500,42003413500,4135,McCandless Twp,N/A,6628,83.43391672,5.763427882,7.61919131,1.478575739,2.1,4.06504065,38.9,12.48736097,0.347012674,225400,972,-0.756786263,Very low Need
4141.01,1400000US42003414101,42003414101,4141.01,Hampton Twp,N/A,5228,96.44223412,1.9510329,0.803366488,0.573833206,1,1.040312094,50.4,8.266666667,0.573833206,236900,841,-0.761123464,Very low Need
4141.02,1400000US42003414102,42003414102,4141.02,Hampton Twp,N/A,7430,90.1345895,1.588156124,6.393001346,0.592193809,1.8,6.653715396,46.1,10.36998437,0.605652759,237500,1302,-0.675825577,Very low Need
4142,1400000US42003414200,42003414200,4142,Hampton Twp,N/A,5707,93.41159979,2.120203259,0.876117049,2.961275626,4,4.629080119,50.1,11.7357695,0.473103207,221600,986,-0.613132116,Very low Need
4150.01,1400000US42003415001,42003415001,4150.01,Indiana Twp,N/A,4679,92.56251336,1.047232315,4.381278051,0.470185937,2.6,6.636500754,52.5,15.6779661,0.448813849,253600,907,-0.521092949,Low Need
4150.02,1400000US42003415002,42003415002,4150.02,Indiana Twp,N/A,2564,88.7675507,0.624024961,5.460218409,0.507020281,4.6,1.122019635,44,10.30769231,1.014040562,260200,1042,-0.712968748,Very low Need
4160,1400000US42003416000,42003416000,4160,Springdale Twp,N/A,1567,98.85130823,0,0.319081047,0.574345884,6.1,11.54791155,80.9,15.55023923,1.021059349,107900,700,-0.088887627,Low Need
4171,1400000US42003417100,42003417100,4171,Springdale Borough ,N/A,2063,94.71643238,0.19389239,0.387784779,2.229762482,6.9,5.862646566,72.9,15.87837838,0.339311682,107100,780,-0.261249643,Low Need
4172,1400000US42003417200,42003417200,4172,Springdale Borough ,N/A,1290,99.45736434,0.542635659,0,0,7.8,8.503401361,82.5,22.5388601,0.465116279,83800,580,-0.001013299,Moderate Need
4180,1400000US42003418000,42003418000,4180,Cheswick,N/A,1715,99.24198251,0.058309038,0.233236152,0.349854227,4.5,3.643724696,62.7,15.17671518,0.349854227,117900,917,-0.443922476,Low Need
4190,1400000US42003419000,42003419000,4190,Harmar Twp,N/A,3043,95.00492935,0.985869208,0.492934604,3.516266842,5.2,4.02075227,68.7,14.18020679,0.953006901,115300,741,-0.356889651,Low Need
